date,SGS,SWISSCOM,GIVAUDAN,ZURICH INSURANCE,NOVARTIS,ROCHE,CREDIT SUISSE,ADECCO,LAFARGEHOLCIM,ABB,SWATCH,LONZA,SWISS LIFE,GEBERIT,NESTLE,JULIUS BAER,SWISS RE,RICHEMONT,UBS,SIKA,SMI
2018-01-05,2602,524.8,2327,300.1,84.08,252.2,17.64,78.9,58.0,26.92,402.6,270.9,350.7,436.7,83.74,61.46,92.26,89.54,18.36,134.503,9556.98
2018-01-12,2575,520.4,2270,313.6,83.88,245.8,18.29,79.42,58.9,27.13,406.6,264.5,356.0,430.0,82.48,63.24,92.96,89.34,18.895,138.41899999999998,9546.61
2018-01-19,2635,520.0,2295,317.6,83.38,234.5,18.28,78.9,59.58,26.98,407.9,270.2,358.8,463.0,82.28,63.86,94.46,90.1,19.325,139.003,9509.77
2018-01-26,2559,518.8,2211,315.3,87.74,231.45,18.605,78.78,58.94,26.56,400.9,270.6,357.0,450.5,81.0,63.66,93.54,88.8,19.355,136.41899999999998,9515.56
2018-02-02,2469,506.8,2179,307.8,82.64,224.15,18.06,75.3,56.28,25.67,417.2,251.6,351.2,435.6,79.42,63.58,92.22,88.78,18.94,130.336,9220.69
2018-02-09,2317,489.4,2087,297.3,77.4,215.95,16.305,70.6,53.0,22.7,392.3,223.8,328.1,409.6,75.7,59.28,92.2,83.72,17.235,122.586,8682.0
2018-02-16,2381,513.8,2159,308.2,80.8,225.5,17.38,74.78,54.82,23.61,415.2,246.4,335.8,428.0,75.74,61.8,94.4,85.62,17.8,129.586,8986.72
2018-02-23,2409,514.0,2158,312.8,79.38,222.05,17.44,75.84,55.46,23.31,404.5,240.4,339.8,427.4,75.76,61.52,97.44,84.12,18.08,128.66899999999998,8948.19
2018-03-02,2320,498.9,2104,299.5,77.26,217.75,16.6,68.86,50.86,22.32,384.9,230.5,329.7,413.9,73.5,58.58,93.48,80.7,17.12,122.169,8628.51
2018-03-09,2451,509.6,2216,309.7,78.36,229.0,17.255,70.4,53.12,23.31,402.7,235.7,337.9,435.8,76.26,60.6,96.92,84.14,17.405,128.91899999999998,8931.85
2018-03-16,2458,506.6,2142,314.2,78.0,220.05,17.42,70.58,53.2,23.09,396.3,238.4,344.0,431.3,76.5,61.48,96.84,85.08,17.64,126.50200000000001,8882.53
2018-03-23,2320,467.0,2153,300.2,75.28,216.0,16.08,66.92,51.6,22.1,403.6,227.1,332.6,419.8,73.7,58.26,93.44,85.12,16.58,122.669,8569.08
2018-03-30,2348,473.6,2176,313.4,77.26,219.1,15.99,68.0,52.3,22.72,421.4,225.2,340.3,422.4,75.62,58.74,97.28,85.76,16.795,124.75200000000001,8740.97
2018-04-06,2358,451.0,2210,298.1,77.68,217.2,15.67,67.34,52.86,21.51,429.8,227.8,340.5,413.4,75.98,57.76,94.1,85.86,16.52,122.836,8671.04
2018-04-13,2378,453.3,2171,307.3,78.18,217.1,15.815,67.1,53.2,22.07,453.5,234.3,345.3,416.1,76.5,57.24,95.28,91.94,16.875,122.169,8776.17
2018-04-20,2416,462.9,2204,313.7,76.08,215.65,16.19,69.2,55.34,23.68,467.1,245.0,356.7,429.6,75.2,58.5,97.56,92.88,17.2,122.336,8807.8
2018-04-27,2419,473.4,2220,317.5,76.42,218.55,16.83,65.54,55.0,23.03,472.1,244.0,346.5,425.3,76.68,58.86,94.84,93.94,16.605,121.919,8843.02
2018-05-04,2437,455.5,2193,317.3,76.76,225.8,16.405,66.14,56.22,23.39,471.1,256.2,347.5,443.0,76.36,59.94,92.8,95.0,16.615,121.169,8903.83
2018-05-11,2515,460.4,2286,317.3,77.56,222.15,17.145,64.4,52.84,24.08,483.3,265.9,360.3,447.6,77.6,62.82,95.14,96.58,16.43,135.503,8993.51
2018-05-18,2559,452.0,2270,314.9,77.0,224.55,16.65,63.36,53.24,24.34,485.6,267.0,358.4,443.1,77.1,62.3,94.22,93.8,15.995,134.66899999999998,8940.46
2018-05-25,2569,445.7,2230,305.8,75.56,217.6,16.15,61.48,52.14,23.36,486.1,269.1,354.0,435.8,76.2,60.8,90.64,92.62,15.765,132.753,8759.08
2018-06-01,2601,443.3,2224,296.9,74.7,215.95,15.395,60.34,51.4,22.88,487.9,266.5,344.6,434.8,75.0,58.46,87.16,91.26,15.315,133.003,8618.54
2018-06-08,2611,442.3,2203,294.7,73.86,207.7,15.185,59.74,51.86,22.66,492.5,268.0,342.3,439.0,73.46,59.18,87.06,92.26,15.195,137.336,8512.06
2018-06-15,2628,443.1,2273,297.2,75.6,211.85,15.36,60.38,51.24,22.91,493.4,272.2,346.6,440.5,74.66,60.0,88.02,92.0,15.45,143.6,8642.6
2018-06-22,2594,447.7,2218,297.4,74.64,219.85,15.38,60.12,49.65,22.2,475.5,272.6,346.2,431.9,75.2,59.04,86.72,87.24,15.475,135.1,8616.56
2018-06-29,2642,443.2,2252,294.1,75.28,220.55,14.95,58.76,48.38,21.71,471.1,263.5,345.0,425.9,76.9,58.28,85.7,84.12,15.325,137.4,8609.3
2018-07-06,2623,459.0,2322,295.5,76.48,223.9,14.9,58.38,47.81,21.22,452.2,270.0,344.1,423.6,79.74,57.92,87.18,82.54,15.17,134.3,8697.42
